Pergunta,resp1,resp2,certo
Qual é o maior continente do mundo?,Africa,Asia,Asia
Em que continente se encontra o Brasil?,America do Sul,Africa,America do Sul
Qual é o maior oceano do mundo?,Oceano Atlantico,Oceano Pacifico,Oceano Pacifico
Qual é a capital da Franca?,Paris,Londres,Paris
Qual é o maior pais do mundo em area?,Estados Unidos,Russia,Russia
Qual é o nome do maior deserto do mundo?,Deserto do Saara,Deserto da Antartica,Deserto da Antartica
Quantos continentes existem no mundo?,Cinco,Sete,Sete
Em que continente fica o Egito?,Africa,Asia,Africa
Qual é o rio mais longo do mundo?,Rio Amazonas,Rio Nilo,Rio Amazonas
Qual é o nome da capital do Japao?,Pequim,Toquio,Toquio


