Pergunta,resp1,resp2,certo
Quanto é 10 x 6?,60,50,60
Quanto é 10 x 3?,22,30,30
Quanto é 1 x 3?,4,3,3
Quanto é 8 x 1?,8,10,8
Quanto é 10 x 5?,54,50,50
Quanto é 4 x 1?,4,3,4
Quanto é 4 x 10?,38,40,40
Quanto é 6 x 4?,21,24,24
Quanto é 7 x 3?,21,27,21
Quanto é 3 x 1?,1,3,3
Quanto é 2 x 6?,12,18,12
Quanto é 3 x 6?,18,22,18
Quanto é 9 x 2?,18,24,18
Quanto é 9 x 10?,95,90,90
Quanto é 3 x 8?,24,20,24
Quanto é 2 x 9?,21,18,18
Quanto é 1 x 9?,9,13,9
Quanto é 8 x 3?,27,24,24
Quanto é 8 x 7?,56,48,56
Quanto é 4 x 7?,28,22,28
Quanto é 1 x 10?,9,10,10
Quanto é 8 x 10?,80,82,80
Quanto é 10 x 10?,100,109,100
Quanto é 6 x 2?,15,12,12
Quanto é 9 x 7?,63,72,63
Quanto é 5 x 10?,52,50,50
Quanto é 6 x 9?,64,54,54
Quanto é 3 x 2?,7,6,6
Quanto é 3 x 10?,22,30,30
Quanto é 6 x 6?,36,44,36
Quanto é 2 x 2?,6,4,4
