Pergunta,resp1,resp2,certo
O _____ no cinema estava reservado.,acento,assento,assento
O _____ de música clássica é no teatro.,conserto,concerto,concerto
Ele se sentiu _____ depois da refeição.,mau,mal,mal
Vou comer _____,mais,mas,mais
Preciso de _____ tempo para terminar o trabalho.,mas,mais,mais
Vou _____ a fogueira,ascender,acender,acender
A _____ do predio esta quebrada,cinta,sinta,cinta
O _____ do meu carro esta baixo,censo,senso,senso
Vou _____ o preco antes de comprar,ratificar,retificar,retificar
O _____ do computador será feito amanhã.,conserto,concerto,conserto
Ele está _____ de saúde.,mau,mal,mal
O prisioneiro foi colocado na _____. ,cela,sela,cela
Ele fez um _____ negócio.,mau,mal,mau
A palavra "Não" tem _____ no "A".,acento,assento,acento
"Eu queria ir à festa, _____ estava muito cansado".,mas,mais,mas
Ele possui um _____ de prisão em seu nome.,mandado,mandato,mandado
Vou comer _____,mais.,mas,mais
Vou _____ a fogueira,ascender.,acender,acender
A _____ do predio esta quebrada.,cinta,sinta,cinta
Aquele é um _____ aluno.,mau,mal,mau
A _____ do cavalo estava ajustada.,cela,sela,sela
Ele nao _____ o remedio por nada.,cede,sede,cede
O _____ do meu carro esta baixo.,censo,senso,senso
Vou _____ o preco antes de comprar.,ratificar,retificar,retificar
O vereador está no seu segundo _____. ,mandado,mandato,mandato
